sentence,title
大江东去，浪淘尽，千古风流人物。,苏轼《念奴娇·赤壁怀古》
心似双丝网，中有千千结。,张先《千秋岁·数声鶗鴂》
三十功名尘与土，八千里路云和月。,岳飞《满江红·写怀》
白日放歌须纵酒，青春作伴好还乡。,杜甫《闻官军收河南河北》
愿得此身长报国，何须生入玉门关。,戴叔伦《塞上曲二首·其二》
位卑未敢忘忧国，事定犹须待阖棺。,陆游《病起书怀》
无边落木萧萧下，不尽长江滚滚来。,杜甫《登高》
他年我若为青帝，报与桃花一处开。,黄巢《题菊花》
流水落花春去也，天上人间。,李煜《浪淘沙令·帘外雨潺潺》
春蚕到死丝方尽，蜡炬成灰泪始干。,李商隐《无题·相见时难别亦难》
月有盈亏花有开谢，想人生最苦离别。,张鸣善《普天乐·咏世》
系我一生心，负你千行泪。,柳永《忆帝京·薄衾小枕凉天气》
红豆生南国，春来发几枝。,王维《相思》
山一程，水一程，身向榆关那畔行，夜深千帐灯。,纳兰性德《长相思·山一程》
知否，知否？应是绿肥红瘦。,李清照《如梦令·昨夜雨疏风骤》
少年听雨歌楼上。红烛昏罗帐。,蒋捷《虞美人·听雨》
天长地久有时尽，此恨绵绵无绝期。,白居易《长恨歌》
夜阑卧听风吹雨，铁马冰河入梦来。,陆游《十一月四日风雨大作》
以人言善我，必以人言罪我。,《韩非子·说林上》
关关雎鸠，在河之洲。窈窕淑女，君子好逑。,佚名《关雎》
夜来幽梦忽还乡，小轩窗，正梳妆。相顾无言，惟有泪千行。,苏轼《江城子·乙卯正月二十日夜记梦》
兰有秀兮菊有芳，怀佳人兮不能忘。,刘彻《秋风辞》
莫唱当年长恨歌，人间亦自有银河。,袁枚《马嵬》
上善若水，水善利万物而不争。,《老子·道经·第八章》
少年易老学难成，一寸光阴不可轻。,朱熹《劝学诗 / 偶成》
遇酒且呵呵，人生能几何！,韦庄《菩萨蛮·劝君今夜须沈醉》
松花酿酒，春水煎茶。,张可久《人月圆·山中书事》
呜呼！楚虽三户能亡秦，岂有堂堂中国空无人！,陆游《金错刀行》
相见时难别亦难，东风无力百花残。,李商隐《无题·相见时难别亦难》
相思只在，丁香枝上，豆蔻梢头。,王雱《眼儿媚·杨柳丝丝弄轻柔》
月落乌啼霜满天，江枫渔火对愁眠。,张继《枫桥夜泊 / 夜泊枫江》
花无人戴，酒无人劝，醉也无人管。,黄公绍《青玉案·年年社日停针线》
天街小雨润如酥，草色遥看近却无。,韩愈《早春呈水部张十八员外 / 初春小雨 / 早春》
独立寒秋，湘江北去，橘子洲头。,毛泽东《沁园春·长沙》
昨夜星辰昨夜风，画楼西畔桂堂东。,李商隐《无题·昨夜星辰昨夜风》
思君如满月，夜夜减清辉。,张九龄《赋得自君之出矣》
秦时明月汉时关，万里长征人未还。,王昌龄《出塞二首·其一》
海水梦悠悠，君愁我亦愁。,佚名《西洲曲》
云中谁寄锦书来，雁字回时，月满西楼。,李清照《一剪梅·红藕香残玉簟秋》
渺万里层云，千山暮雪，只影向谁去？,元好问《摸鱼儿·雁丘词 / 迈陂塘》
春水碧于天，画船听雨眠。,韦庄《菩萨蛮·人人尽说江南好》
春风又绿江南岸，明月何时照我还？,王安石《泊船瓜洲》
旧时王谢堂前燕，飞入寻常百姓家。,刘禹锡《乌衣巷》
愿为西南风，长逝入君怀。,曹植《七哀诗》
知我者，谓我心忧；不知我者，谓我何求。,佚名《黍离》
小舟从此逝，江海寄余生。,苏轼《临江仙·夜饮东坡醒复醉》
东边日出西边雨，道是无晴却有晴。,刘禹锡《竹枝词二首·其一》
江南可采莲，莲叶何田田。,佚名《江南》
桃李不言，下自成蹊。,《史记·李将军列传》
力拔山兮气盖世。时不利兮骓不逝。,项羽《垓下歌》
衰兰送客咸阳道，天若有情天亦老。,贺铸《金铜仙人辞汉歌》
美人自古如名将，不许人间见白头。,《随园诗话·卷四》
春江潮水连海平，海上明月共潮生。,张若虚《春江花月夜》
南风知我意，吹梦到西洲。,佚名《西洲曲》
侯门一入深如海，从此萧郎是路人。,崔郊《赠去婢》
十年一觉扬州梦，赢得青楼薄幸名。,杜牧《遣怀》
弱水三千，我只取一瓢饮。,《红楼梦·第九十一回》
危楼高百尺，手可摘星辰。,李白《夜宿山寺》
等闲识得东风面，万紫千红总是春。,朱熹《春日》
愿我如星君如月，夜夜流光相皎洁。,范成大《车遥遥篇》
万事到头都是梦，休休。明日黄花蝶也愁。,苏轼《南乡子·重九涵辉楼呈徐君猷》
狡兔死，走狗烹；飞鸟尽，良弓藏；敌国破，谋臣亡。,《资治通鉴·汉纪三》
结发为夫妻，恩爱两不疑。,佚名《留别妻》
世情薄，人情恶，雨送黄昏花易落。,唐婉《钗头凤·世情薄》
一道残阳铺水中，半江瑟瑟半江红。,白居易《暮江吟》
水是眼波横，山是眉峰聚。,王观《卜算子·送鲍浩然之浙东》
谁念西风独自凉，萧萧黄叶闭疏窗，沉思往事立残阳。,纳兰性德《浣溪沙·谁念西风独自凉》
寻寻觅觅，冷冷清清，凄凄惨惨戚戚。,李清照《声声慢·寻寻觅觅》
宣父犹能畏后生，丈夫未可轻年少。,李白《上李邕》
欲把相思说似谁，浅情人不知。,晏几道《长相思·长相思》
枝上柳绵吹又少。天涯何处无芳草。,苏轼《蝶恋花·春景》
蝉噪林逾静，鸟鸣山更幽。,王籍《入若耶溪》
泉涸，鱼相与处于陆，相呴以湿，相濡以沫，不如相忘于江湖。,《庄子·内篇·大宗师》
迟日江山丽，春风花草香。,杜甫《绝句二首》
美人卷珠帘，深坐颦蛾眉。,李白《怨情》
山重水复疑无路，柳暗花明又一村。,陆游《游山西村》
当时明月在，曾照彩云归。,晏几道《临江仙·梦后楼台高锁》
星垂平野阔，月涌大江流。,杜甫《旅夜书怀》
南朝四百八十寺，多少楼台烟雨中。,杜牧《江南春》
多情只有春庭月，犹为离人照落花。,张泌《寄人》
合抱之木，生于毫末；九层之台，起于累土；千里之行，始于足下。,《老子·德经·第六十四章》
出师未捷身先死，长使英雄泪满襟。,杜甫《蜀相》
祸不妄至，福不徒来。,《史记·龟策列传》
满目山河空念远，落花风雨更伤春。,晏殊《浣溪沙·一向年光有限身》
我是人间惆怅客，知君何事泪纵横，断肠声里忆平生。,纳兰性德《浣溪沙·残雪凝辉冷画屏》
昔去雪如花，今来花似雪。,范云《别诗》
秋阴不散霜飞晚，留得枯荷听雨声。,李商隐《宿骆氏亭寄怀崔雍崔衮》
我住长江头，君住长江尾。,李之仪《卜算子·我住长江头》
咬定青山不放松，立根原在破岩中。,郑燮《竹石》
绿杨烟外晓寒轻，红杏枝头春意闹。,宋祁《玉楼春·春景》
洛阳亲友如相问，一片冰心在玉壶。,王昌龄《芙蓉楼送辛渐》
大方无隅；大器晚成；大音希声；大象无形,《老子·德经·第四十一章》
自是人生长恨水长东。,李煜《相见欢·林花谢了春红》
众口铄金，积毁销骨。,《史记·张仪列传》
草木有本心，何求美人折！,张九龄《感遇十二首·其一》
盛年不重来，一日难再晨。,陶渊明《杂诗·人生无根蒂》
嫦娥应悔偷灵药，碧海青天夜夜心。,李商隐《嫦娥》
柴门闻犬吠，风雪夜归人。,刘长卿《逢雪宿芙蓉山主人》
兰生幽谷，不为莫服而不芳。舟在江海，不为莫乘而不浮。君子行义，不为莫知而止休。,《淮南子·说山训》
天生我材必有用，千金散尽还复来。,李白《将进酒》
一双冷眼看世人，满腔热血酬知己。,《随园诗话·卷十六》
绿蚁新醅酒，红泥小火炉。,白居易《问刘十九》
黑发不知勤学早，白首方悔读书迟。,颜真卿《劝学诗》
君子和而不同，小人同而不和。,《论语·子路篇》
落叶他乡树，寒灯独夜人。,马戴《灞上秋居》
劝君更尽一杯酒，西出阳关无故人。,王维《渭城曲 / 送元二使安西》
春心莫共花争发，一寸相思一寸灰！,李商隐《无题·飒飒东风细雨来》
小荷才露尖尖角，早有蜻蜓立上头。,杨万里《小池》
及时当勉励，岁月不待人。,陶渊明《杂诗·人生无根蒂》
采菊东篱下，悠然见南山。,陶渊明《饮酒·其五》
欲寄彩笺兼尺素，山长水阔知何处？,晏殊《蝶恋花·槛菊愁烟兰泣露》
一点浩然气，千里快哉风。,苏轼《水调歌头·黄州快哉亭赠张偓佺》
应是天仙狂醉，乱把白云揉碎。,李白《清平乐·画堂晨起》
大漠孤烟直，长河落日圆。,王维《使至塞上》
巧笑倩兮，美目盼兮，素以为绚兮。,《论语·八佾篇》
肠已断，泪难收。相思重上小红楼。,辛弃疾《鹧鸪天·晚日寒鸦一片愁》
君子不器。,《论语·为政篇》
草长莺飞二月天，拂堤杨柳醉春烟。,高鼎《村居》
凭君莫话封侯事，一将功成万骨枯。,曹松《己亥岁感事》
枕上诗书闲处好，门前风景雨来佳。,李清照《摊破浣溪沙·病起萧萧两鬓华》
此情无计可消除，才下眉头，却上心头。,李清照《一剪梅·红藕香残玉簟秋》
岂曰无衣？与子同袍。,佚名《秦风·无衣》
远看山有色，近听水无声。,王维《画》
七八个星天外，两三点雨山前。,辛弃疾《西江月·夜行黄沙道中》
近乡情更怯，不敢问来人。,宋之问《渡汉江》
曾与美人桥上别，恨无消息到今朝。,刘禹锡《杨柳枝 / 柳枝词》
北方有佳人，绝世而独立。,李延年《李延年歌》
我有所念人，隔在远远乡。,白居易《夜雨》
人生亦有命，安能行叹复坐愁？,鲍照《拟行路难·其四》
朔风如解意，容易莫摧残。,崔道融《梅花》
